story,type,link,,,,platform
Moola Chatook,web story,https://twitter.com/SAMAATV/status/1047110194004709376,,,,twitter
Moola Chatook,direct video,https://twitter.com/SAMAATV/status/1047113973773099009,,,,twitter
Moola Chatook,web story,https://www.facebook.com/samaatvnews/posts/2065192376836557,,,,facebook
Moola Chatook,direct video,https://www.facebook.com/samaatvnews/posts/2065212070167921,,,,facebook
خیبر ڈسٹرکٹ کی پہلی لائبریری ایک بہترین انتقام,direct video,https://twitter.com/SAMAATV/status/1047882790098939905,,,,twitter
خیبر ڈسٹرکٹ کی پہلی لائبریری ایک بہترین انتقام,web story,https://www.facebook.com/samaatvnews/posts/2067671809921947,,,,
The birth of Khyber Agency’s first public library,direct video,https://twitter.com/SAMAATV/status/1047769554489892871,,,,
Wedding atelier,direct video,https://twitter.com/SAMAATV/status/1047877450506690560,,,,
Keto is here to stay as long as people keep talking about it,web story,https://twitter.com/SamaaEnglish/status/1049538406752104453,,,,
Keto is here to stay as long as people keep talking about it,direct video,https://twitter.com/SAMAATV/status/1049283269244727296,,,,
Rupee v Dollar: Paisa phaink tamasha dekh,direct video,https://twitter.com/SAMAATV/status/1049633813758963714,,,,
?????? ?? ????? ?? ????? ??? ????? ?? ?????,direct video,https://twitter.com/SAMAATV/status/1049972529207672833,,,,
Do you have depression? Why you should get help,web story,https://twitter.com/SAMAATV/status/1049980862710906881,,,,
Kashmir-Saja begum (English),direct video,https://youtu.be/74_hT1NwZ8o,,,,
"Football Players, Lyari (English)",direct video,https://youtu.be/IkN2IAAa7aA,,,,
Minorities NIC-Who gets to live in karachi? (English),direct video,https://youtu.be/Kzzm2JQjrZE,,,,
Morel mushrooms Shangla (Urdu),direct video,https://youtu.be/WKYsKo7Sw58,,,,
Morel mushrooms Shangla (English),direct video,https://youtu.be/rsAaiVm82QM,,,,
Patka Ep1/5 (English),direct video,https://youtu.be/b2LHQYZx4aI,,,,
Noha Ep 2/5 (English),direct video,https://youtu.be/Yncm6sNIHaY,,,,
Sozkhani 1 Ep 3/5 (English),direct video,https://youtu.be/oNa5KW2oO6w,,,,
Sozkhani 2 Ep 4/5 (English),direct video,https://youtu.be/BK616MPHPB0,,,,
Zuljanah Ep 5/5 (English),direct video,https://youtu.be/Z8JrgJoom48,,,,
Namak Mandi (English),direct video,https://youtu.be/GjoEp-9vwVI,,,,
Namak Mandi (Urdu),direct video,https://youtu.be/s3DyWNoVjU0,,,,
Chai Josh (music instrument shop) (English),direct video,https://youtu.be/ITW5IIdU99I,,,,
Chai Josh (music instrument shop) (Urdu),direct video,https://youtu.be/-JPAdvzHdjU,,,,
Asad Umar-overseas pakistani bonds (English),direct video,https://youtu.be/o010sLzz7aU,,,,
Kahwa shop (English),direct video,https://youtu.be/_z3enw96wG8,,,,
Kahwa shop (Urdu),direct video,https://youtu.be/FfwW0xBwdp8,,,,
Jam Kamal (English),direct video,https://youtu.be/CouPf8SdvMY,,,,
Japanese food (English),direct video,https://youtu.be/P7saba-ugME,,,,
KP's Baywatch for baby swimmers (English),direct video,https://youtu.be/K1M3i0vpdew,,,,
Chitral Tourism (English),direct video,https://youtu.be/0jN0zCjMphk,,,,
